Plataforma,Genero,Anio de lanzamiento,Puntuacion de la critica,Puntuacion de los usuarios,Ventas globales (millones),Clasificacion ESRB,Modo multijugador,Modo historia,Valoracion Final
PS5,Plataformas,2025,6.9,2,8.51,AO,No,Si,4.45
Switch,Aventura,2018,9.9,10,43.62,AO,Si,Si,9.95
Xbox One,Accion,2015,6.1,9,17.42,E10+,No,No,7.55
PS4,Puzzle,2020,5.8,2,5.67,M,Si,Si,3.9
Switch,Deportes,2019,5.9,5,20.91,E10+,No,Si,5.45
PS5,Puzzle,2020,5.6,3,19.17,E,No,No,4.3
Xbox Series X,Aventura,2024,8,10,37.6,M,Si,No,9
Xbox Series X,Estrategia,2022,5.7,6,38.26,T,No,Si,5.85
Switch,Plataformas,2021,6.2,6,4.48,T,Si,No,6.1
Xbox Series X,Plataformas,2023,5.6,7,22.61,E,Si,Si,6.3
PS5,Puzzle,2021,9.9,5,25.29,E10+,No,No,7.45
Switch,Aventura,2024,9.2,8,3.57,M,No,No,8.6
Switch,Deportes,2020,5.8,4,24.82,M,Si,Si,4.9
PS4,Puzzle,2017,5.4,6,43.91,AO,Si,Si,5.7
Xbox Series X,Carreras,2020,7.9,8,28.17,E10+,No,No,7.95
Xbox Series X,Accion,2024,9,9,8.68,M,No,Si,9
PC,Simulacion,2007,7.3,7,24.51,AO,Si,No,7.15
PS4,Aventura,2013,5.4,9,39.18,AO,Si,Si,7.2
PC,Deportes,2010,5.3,8,19.55,M,No,Si,6.65
Xbox One,Carreras,2014,7.5,6,40.42,M,No,Si,6.75
Switch,Deportes,2023,9.2,3,47.22,M,No,No,6.1
PS4,Carreras,2018,9,3,31.85,E,No,No,6
Xbox One,Deportes,2015,9.4,8,24.14,M,No,No,8.7
Xbox Series X,Simulacion,2021,7.1,2,14.72,M,No,Si,4.55
PS4,RPG,2013,7.4,2,24.75,AO,No,No,4.7
PC,Simulacion,2019,6.1,4,44.89,M,No,No,5.05
PS5,Simulacion,2020,5.8,6,40.89,E,No,Si,5.9
PC,Aventura,2016,7.8,9,30.73,E10+,No,No,8.4
PS4,Estrategia,2017,5.2,6,32.94,E,Si,Si,5.6
PS4,Puzzle,2015,7.8,9,34.69,E,Si,Si,8.4
Switch,Puzzle,2023,5.6,6,10.06,E10+,No,Si,5.8
Switch,Plataformas,2022,9.3,7,13.93,M,No,Si,8.15
PS4,Simulacion,2015,8.9,9,22.41,AO,No,Si,8.95
Switch,Plataformas,2021,8.4,8,24.1,E10+,Si,Si,8.2
PS5,Simulacion,2021,6.9,7,15.29,E10+,No,No,6.95
Xbox Series X,Simulacion,2021,8.6,5,21.77,E,No,Si,6.8
PS4,Plataformas,2018,7.8,3,8.05,E,Si,No,5.4
PS5,Deportes,2025,8.8,8,1.24,AO,No,Si,8.4
Xbox Series X,Deportes,2025,9.9,2,37.47,AO,No,Si,5.95
PC,Puzzle,2015,7.1,10,39.29,M,Si,Si,8.55
PS4,Aventura,2018,9.5,8,34.4,E,No,Si,8.75
PS5,Carreras,2020,9.1,1,20.24,E,No,No,5.05
Xbox One,RPG,2017,8.1,7,20.55,E,Si,No,7.55
PS5,Deportes,2020,9.8,6,7.74,T,Si,No,7.9
PS5,Simulacion,2020,7.6,9,30.83,AO,No,No,8.3
Switch,RPG,2019,9.8,3,26.64,E,Si,Si,6.4
Xbox Series X,Aventura,2024,7,9,27.78,M,No,No,8
Xbox Series X,RPG,2021,7.3,3,16.64,M,Si,No,5.15
PS4,Carreras,2018,5.5,7,0.39,T,No,No,6.25
Switch,Plataformas,2023,5.7,1,16.46,E,Si,Si,3.35
Switch,Deportes,2023,9,4,49.36,E10+,Si,Si,6.5
PC,Simulacion,2017,5.1,2,48.39,AO,Si,Si,3.55
Xbox One,Estrategia,2014,7.4,10,21.04,E10+,No,Si,8.7
Xbox One,Aventura,2019,8.8,7,28.28,E,No,Si,7.9
PS5,Simulacion,2022,9.5,5,27.52,AO,No,Si,7.25
Xbox Series X,Plataformas,2025,6.7,10,47.81,M,No,Si,8.35
Switch,Puzzle,2022,5.7,4,4.76,T,Si,No,4.85
Xbox Series X,Simulacion,2021,7.1,4,38.09,AO,Si,No,5.55
Xbox One,Puzzle,2015,6.8,4,16.91,E10+,No,No,5.4
Xbox One,Simulacion,2014,8.6,2,40.66,T,No,No,5.3
PS5,Plataformas,2025,5.4,2,38.81,AO,Si,Si,3.7
Switch,Aventura,2020,5.8,4,43.83,T,No,Si,4.9
PS5,RPG,2022,7.7,5,32.05,E,Si,No,6.35
PC,Plataformas,2005,7.4,5,18.16,T,No,No,6.2
PS5,Carreras,2023,9.8,1,25.45,M,No,No,5.4
Xbox One,Deportes,2019,6.3,6,8.27,T,No,Si,6.15
Xbox One,Carreras,2019,7.6,4,24.47,T,No,Si,5.8
PS4,Estrategia,2016,10,5,30.34,E,No,No,7.5
PS4,Simulacion,2018,9.5,6,23.08,T,No,Si,7.75
PS5,Puzzle,2021,5,9,6.32,M,No,Si,7
Switch,Carreras,2017,9,1,32.96,E10+,Si,Si,5
PS4,Carreras,2015,5.9,5,8.35,T,Si,No,5.45
Switch,Plataformas,2024,5.4,5,14.81,E10+,No,Si,5.2
PS5,Aventura,2023,8.2,10,10.37,E,No,No,9.1
PS4,Simulacion,2020,9.7,9,12.86,T,Si,Si,9.35
PS4,Deportes,2014,9.4,9,27.83,T,No,No,9.2
Xbox One,Deportes,2017,6.8,8,22.82,E10+,Si,Si,7.4
Xbox One,Aventura,2020,9.6,1,28.93,E,No,Si,5.3
Xbox One,Deportes,2016,9,2,45.88,E,No,Si,5.5
PS4,Simulacion,2016,7,6,9.91,M,No,Si,6.5
Xbox One,Deportes,2017,7.6,1,45.39,T,Si,No,4.3
Switch,Accion,2022,7.5,2,27.09,T,No,Si,4.75
PS5,Carreras,2023,10,2,29.58,E10+,Si,No,6
PS4,Puzzle,2015,7.9,8,31.63,E,No,Si,7.95
Switch,Estrategia,2019,6.8,9,36.65,E10+,No,Si,7.9
Switch,Estrategia,2019,5.6,8,27.6,E,Si,Si,6.8
Xbox Series X,Accion,2024,7.9,3,18.31,M,No,No,5.45
PS5,RPG,2020,5,3,1.25,E10+,No,No,4
PC,Deportes,2023,7.9,2,46.57,E,Si,No,4.95
PS4,Puzzle,2016,6.9,5,4.04,M,No,No,5.95
Xbox Series X,Deportes,2021,8.6,4,2.99,M,Si,Si,6.3
PS5,Accion,2024,8.4,8,23.65,T,No,No,8.2
Xbox Series X,Accion,2025,5.4,6,11.77,T,No,Si,5.7
Xbox Series X,Accion,2024,9.4,3,3.89,E,No,No,6.2
Xbox Series X,RPG,2022,7,8,37.88,T,No,No,7.5
PS4,Carreras,2020,6.3,1,1.68,T,Si,No,3.65
PS4,Aventura,2016,7.5,2,26.03,E10+,No,No,4.75
PS4,RPG,2014,6.2,7,8.38,E,No,Si,6.6
PS4,Simulacion,2018,6.8,1,34.05,E,No,Si,3.9
PS5,Accion,2023,6.4,10,38.16,T,No,Si,8.2
PS5,Deportes,2023,9.2,7,19.22,T,No,No,8.1
PC,Plataformas,2008,9.1,8,38.55,T,No,No,8.55
Xbox Series X,Accion,2023,8.3,8,24.42,T,No,Si,8.15
PC,Accion,2016,7.8,2,28.15,T,Si,No,4.9
PS4,Puzzle,2018,9.3,4,38.67,T,No,Si,6.65
Switch,Simulacion,2023,6.4,6,12.04,E,No,Si,6.2
PS4,Plataformas,2015,5.9,9,9.82,M,No,No,7.45
PS4,Accion,2016,6.2,8,24.35,AO,Si,Si,7.1
Xbox Series X,RPG,2021,5.5,4,48.61,AO,No,No,4.75
PS4,Puzzle,2015,7.8,1,10.9,M,No,Si,4.4
PS5,Simulacion,2022,6.9,3,11.73,E10+,Si,No,4.95
Xbox Series X,Aventura,2023,9,1,9.1,M,No,Si,5
PS5,Puzzle,2022,9.2,4,30.29,T,Si,No,6.6
PS5,Deportes,2025,7.4,7,20.51,AO,Si,Si,7.2
Xbox Series X,Deportes,2023,9.1,2,22.97,M,Si,No,5.55
Xbox One,RPG,2016,7.8,9,36.75,T,Si,Si,8.4
PS5,Carreras,2024,6.7,7,8.14,AO,Si,Si,6.85
PS5,Puzzle,2020,9.8,4,4.35,T,Si,Si,6.9
Xbox One,Aventura,2014,7.2,5,32.69,AO,No,No,6.1
PS5,RPG,2023,8.1,1,37.89,T,No,Si,4.55
PS4,Estrategia,2017,7,6,4.64,AO,No,No,6.5
Xbox Series X,RPG,2025,5.2,9,20.93,E,No,No,7.1
PC,RPG,2020,5.4,9,21.87,E,Si,Si,7.2
PS4,RPG,2013,10,5,37.63,AO,Si,Si,7.5
PS5,Deportes,2021,7.8,5,33.57,AO,Si,Si,6.4
Switch,Estrategia,2019,8.4,3,13.86,E10+,No,Si,5.7
Xbox One,RPG,2017,9.2,2,1.72,M,Si,No,5.6
Xbox Series X,Aventura,2021,8,10,8.43,E,Si,No,9
Xbox Series X,Estrategia,2023,6.5,9,47.77,E,Si,No,7.75
PS4,Accion,2014,7.5,10,47.01,M,Si,No,8.75
PS4,Deportes,2014,5.9,1,32.37,AO,Si,No,3.45
Xbox Series X,Accion,2023,9.1,6,26.39,E,Si,No,7.55
Switch,Aventura,2017,9.5,7,45.52,M,Si,No,8.25
Switch,Simulacion,2018,5.6,1,22.53,T,Si,Si,3.3
Xbox Series X,Deportes,2021,7.5,9,34.96,E10+,Si,Si,8.25
PS5,Accion,2022,9.2,2,44.03,M,No,Si,5.6
Xbox One,Estrategia,2019,9.4,2,9.52,E10+,Si,No,5.7
Xbox One,Carreras,2019,6.7,2,32.87,E,Si,Si,4.35
Xbox One,Estrategia,2015,8.9,3,32.68,AO,No,No,5.95
Xbox Series X,Carreras,2020,8.3,5,30.1,E10+,No,Si,6.65
PS4,RPG,2018,6.5,9,8.44,T,Si,Si,7.75
PC,Aventura,2011,5.8,2,2.49,M,No,Si,3.9
PC,Puzzle,2015,5.5,7,20.07,AO,Si,Si,6.25
PC,Puzzle,2018,5.4,6,15.43,T,Si,Si,5.7
Switch,Aventura,2018,7.3,9,41.48,M,No,No,8.15
Switch,Carreras,2021,5.8,1,26.23,E,No,Si,3.4
Xbox Series X,Simulacion,2024,8.9,7,25.26,M,No,No,7.95
PC,Carreras,2024,8.2,8,27.23,M,No,Si,8.1
Switch,Aventura,2024,8.5,6,44.81,T,Si,Si,7.25
PS5,Simulacion,2025,6.1,2,2.36,AO,No,Si,4.05
PC,Accion,2025,7.7,8,35,E,Si,No,7.85
PS4,Accion,2015,5.1,8,8.16,T,Si,Si,6.55
Xbox Series X,Plataformas,2022,5.3,9,41.31,E,No,Si,7.15
PS4,Deportes,2017,7.4,1,42.22,AO,No,No,4.2
Switch,Carreras,2019,7.7,5,38.25,E10+,No,Si,6.35
Xbox Series X,Simulacion,2021,9.1,1,43.11,E,No,No,5.05
PS4,Simulacion,2019,8.8,3,35.06,E10+,Si,Si,5.9
Xbox One,Puzzle,2017,7.9,8,10.15,E,No,No,7.95
Xbox One,Accion,2020,6.2,1,10.91,E,Si,No,3.6
Xbox Series X,Plataformas,2024,8.6,3,17.82,T,No,Si,5.8
Switch,Estrategia,2021,6,8,46.09,E,No,Si,7
PS5,Accion,2021,7.4,3,36.55,M,No,No,5.2
Xbox One,Deportes,2015,9.9,3,47.31,E,Si,Si,6.45
Xbox Series X,RPG,2022,6.6,3,4.81,E,Si,Si,4.8
Xbox Series X,Estrategia,2023,7.7,9,23.97,AO,No,No,8.35
PC,Estrategia,2020,5.8,5,7.36,AO,Si,No,5.4
Switch,RPG,2023,8.5,6,17.99,E,Si,No,7.25
PS4,Plataformas,2018,5.1,3,43.38,M,Si,No,4.05
Switch,Estrategia,2019,6.7,7,19.66,E10+,No,Si,6.85
PC,Deportes,2021,8.9,5,2.47,T,Si,Si,6.95
Switch,Simulacion,2023,9.1,2,38.01,T,No,Si,5.55
PS5,Puzzle,2025,5.5,2,42.44,T,Si,Si,3.75
PS5,Puzzle,2024,5.4,5,34.13,M,Si,No,5.2
Switch,Puzzle,2022,8.5,5,2.02,E,No,No,6.75
PS4,Deportes,2018,6.2,1,47.34,E,No,No,3.6
Xbox Series X,Puzzle,2022,5.3,9,34.43,AO,Si,Si,7.15
PS5,Plataformas,2022,5.3,10,42.67,E,No,No,7.65
Xbox One,Deportes,2013,6.5,3,36.58,AO,Si,Si,4.75
Switch,Simulacion,2023,8.2,5,38.64,E10+,Si,Si,6.6
Xbox Series X,Aventura,2024,8.9,1,40.88,E10+,No,No,4.95
PS4,Estrategia,2014,9.3,9,23.59,E,No,No,9.15
Xbox Series X,Puzzle,2025,9.4,9,37.51,T,Si,No,9.2
Xbox One,RPG,2016,9.2,10,47.08,E10+,Si,Si,9.6
PS5,Plataformas,2022,9,5,30.4,M,No,Si,7
PS5,Deportes,2024,9.7,10,16.2,T,No,Si,9.85
Xbox One,Estrategia,2014,7.7,2,30.7,E10+,Si,Si,4.85
PS4,Simulacion,2016,5.5,1,35.84,T,No,No,3.25
PS5,Aventura,2023,7.7,2,13.02,E,No,Si,4.85
PC,RPG,2021,5.1,9,47.12,E10+,No,Si,7.05
PC,Deportes,2022,7,7,21.73,E,No,Si,7
PS5,Carreras,2022,6.5,1,47.47,M,Si,Si,3.75
PS5,Carreras,2025,5.7,3,17.75,T,Si,No,4.35
Xbox Series X,Puzzle,2022,5,3,8.66,E,No,Si,4
PS4,Carreras,2016,8.6,3,28.92,M,Si,Si,5.8
Switch,Aventura,2024,5.6,5,42.09,M,Si,Si,5.3
PC,Carreras,2021,5.9,5,14.24,E10+,No,No,5.45
PC,Carreras,2014,6.4,1,29.64,E10+,Si,No,3.7
PC,Estrategia,2012,8,3,12.5,AO,Si,Si,5.5
Switch,Plataformas,2020,5.4,4,39.73,T,Si,Si,4.7
Switch,Accion,2020,5.6,7,15.49,E,No,Si,6.3
Xbox Series X,Estrategia,2020,9.3,7,21.34,AO,Si,No,8.15
PS5,Plataformas,2021,7.1,3,49.28,M,Si,No,5.05
PS5,Aventura,2025,6.9,4,18.59,M,No,No,5.45
Xbox Series X,RPG,2024,8.2,3,46.13,E10+,No,Si,5.6
PS5,Aventura,2023,7.7,1,27.47,AO,Si,Si,4.35
Xbox One,Carreras,2014,6.6,1,17.44,E,No,No,3.8
PS4,Carreras,2013,5,5,16.01,E10+,Si,No,5
Xbox Series X,Simulacion,2024,5.8,3,11.28,T,Si,Si,4.4
PS5,RPG,2023,5,1,20.46,M,Si,Si,3
PS4,Aventura,2014,8.5,3,13.12,T,No,No,5.75
Switch,Aventura,2018,7.2,8,5.06,M,Si,No,7.6
PS5,RPG,2020,9.9,3,5.81,M,Si,No,6.45
PS4,Aventura,2015,5.2,3,42.46,M,Si,No,4.1
Xbox One,Puzzle,2016,5.4,4,19.54,E10+,No,Si,4.7
PS5,Accion,2025,5.3,7,35.21,M,No,Si,6.15
PS4,Plataformas,2018,7.2,1,29.27,M,Si,Si,4.1
Switch,Simulacion,2024,7.3,7,10.91,T,Si,No,7.15
PC,Deportes,2018,6.3,6,2.06,E10+,Si,Si,6.15
Xbox Series X,Accion,2022,7.3,9,25.19,M,No,No,8.15
Xbox One,Plataformas,2019,6.7,8,5.53,M,No,Si,7.35
Xbox One,Puzzle,2014,5.7,7,18.41,M,No,No,6.35
Xbox Series X,Puzzle,2023,9.7,2,27.23,AO,No,No,5.85
Xbox Series X,Carreras,2021,6.9,4,14.4,E10+,No,Si,5.45
PC,Estrategia,2016,8.7,4,24.08,T,Si,No,6.35
Xbox One,RPG,2016,7.4,7,15.49,M,No,Si,7.2
PS5,RPG,2020,8.2,7,49.54,M,Si,Si,7.6
PC,Simulacion,2007,8,3,24.8,M,Si,Si,5.5
Xbox One,Simulacion,2015,6,7,16.01,E10+,Si,Si,6.5
Switch,RPG,2019,5.9,8,24.36,AO,Si,No,6.95
Switch,Plataformas,2021,8.4,3,24.23,M,Si,No,5.7
PS4,Deportes,2019,9.8,3,40.69,M,No,No,6.4
PS4,Accion,2013,8.1,9,9.09,E10+,Si,Si,8.55
Xbox Series X,Puzzle,2021,6,6,12.33,AO,No,No,6
PS4,Aventura,2018,6.8,2,42.89,E10+,Si,No,4.4
PS5,Plataformas,2021,7.5,4,12.23,T,Si,No,5.75
Switch,Puzzle,2023,7.3,10,4.94,T,Si,Si,8.65
PS5,Deportes,2021,5.8,4,30.2,E10+,Si,Si,4.9
Xbox One,Estrategia,2020,8.7,7,9.05,M,No,No,7.85
PS4,Carreras,2014,6.7,4,43.09,E,No,Si,5.35
PS5,Aventura,2023,7.9,3,42.03,E,No,Si,5.45
PC,Aventura,2019,9,7,9.86,AO,No,No,8
Xbox Series X,Accion,2020,5.1,8,45.26,AO,Si,Si,6.55
Xbox Series X,Aventura,2021,9.7,2,29.44,M,No,Si,5.85
PS5,Carreras,2022,7.9,10,32.86,E,Si,Si,8.95
PC,Deportes,2014,8.5,8,46.63,T,Si,Si,8.25
PS5,Plataformas,2025,5,8,1.57,T,Si,No,6.5
PC,Estrategia,2024,7.7,9,29.25,M,Si,Si,8.35
PS4,Deportes,2014,7,10,35.85,E10+,Si,No,8.5
Xbox One,Carreras,2017,6.2,1,45.39,AO,No,No,3.6
PS5,RPG,2021,7.1,9,36.38,E,Si,No,8.05
Xbox Series X,Deportes,2022,7.2,7,39.52,E,Si,Si,7.1
PC,Simulacion,2024,5.8,6,31.35,T,No,No,5.9
PC,Carreras,2013,8.5,7,13.05,E,Si,No,7.75
PS5,Estrategia,2023,8.7,7,30.25,AO,No,No,7.85
Xbox One,Estrategia,2015,6,10,48.96,AO,Si,Si,8
PS4,Aventura,2019,9.6,10,4.9,E,Si,No,9.8
Switch,Aventura,2017,6,1,21.59,M,Si,Si,3.5
PC,Carreras,2006,5.4,6,15.9,M,Si,Si,5.7
PC,Puzzle,2005,9.1,2,23.42,T,Si,No,5.55
Xbox Series X,RPG,2023,8.4,1,25.12,E10+,No,Si,4.7
Xbox One,Plataformas,2014,5.8,8,13.24,M,No,Si,6.9
Switch,Deportes,2017,9.5,7,34.3,E10+,Si,No,8.25
PS4,Simulacion,2017,9.6,7,33.05,M,Si,No,8.3
Xbox One,Plataformas,2014,8.3,4,14.64,M,No,Si,6.15
Xbox One,Aventura,2019,6.6,6,27.6,E10+,Si,Si,6.3
PC,RPG,2021,9.8,4,32.79,T,Si,Si,6.9
PS5,Accion,2020,10,4,18.72,M,No,No,7
PC,Simulacion,2013,9.9,5,29.42,E,No,No,7.45
PC,Aventura,2021,8,8,15.77,AO,No,Si,8
PS4,Carreras,2014,8.4,2,44.2,E10+,Si,No,5.2
PS4,RPG,2018,7.3,5,45.68,E10+,Si,No,6.15
PS4,Carreras,2018,8.8,4,20.69,E10+,No,No,6.4
Switch,Estrategia,2017,6.4,3,36.63,T,Si,No,4.7
PC,Estrategia,2018,6.7,5,24.98,T,No,No,5.85
Switch,Simulacion,2025,5.6,9,32.36,E,No,Si,7.3
PS5,Plataformas,2024,7.6,8,46.16,M,No,Si,7.8
Switch,Deportes,2024,8.6,9,0.25,M,No,Si,8.8
Switch,Plataformas,2022,5.6,3,15.13,E10+,No,Si,4.3
Switch,Accion,2017,6.1,8,35.46,AO,Si,No,7.05
PC,Accion,2012,7,2,15.32,M,Si,Si,4.5
PS4,Plataformas,2014,7.7,1,36.86,AO,Si,No,4.35
PS4,Puzzle,2017,7.6,10,23.27,M,No,No,8.8
PC,Plataformas,2019,7.2,9,46.55,M,Si,Si,8.1
PC,Simulacion,2023,6.2,8,7,T,No,Si,7.1
Switch,RPG,2021,9.6,10,1.53,E10+,Si,Si,9.8
Xbox One,Estrategia,2016,6.4,6,34.14,E10+,No,No,6.2
Xbox One,Estrategia,2015,6.3,6,5.08,M,Si,Si,6.15
PC,Estrategia,2011,8.6,7,46.92,M,Si,Si,7.8
Xbox One,Carreras,2017,7.4,1,28.6,M,No,No,4.2
Xbox Series X,Plataformas,2021,7.9,9,30.64,M,Si,Si,8.45
Switch,Puzzle,2024,8,9,32.39,E,Si,No,8.5
PS5,Aventura,2025,5.4,1,18.92,E10+,No,No,3.2
PS4,Accion,2017,5.8,7,34.39,E,Si,No,6.4
Switch,Plataformas,2021,9.4,8,40.88,T,Si,No,8.7
Xbox Series X,Carreras,2023,6.6,1,16.88,E,Si,No,3.8
Xbox One,Puzzle,2019,6.5,7,22.41,T,No,No,6.75
Xbox One,Plataformas,2019,6.6,10,22.9,M,No,No,8.3
PS5,Puzzle,2021,8.4,5,32.92,M,Si,No,6.7
PS4,Carreras,2013,6,8,46.89,M,No,Si,7
Switch,Accion,2019,8.4,3,32.74,E10+,No,Si,5.7
PS5,Simulacion,2025,9.2,5,3.65,M,No,Si,7.1
Xbox Series X,Deportes,2023,7.7,2,40.23,E,No,No,4.85
Switch,Accion,2017,5.8,7,8.81,T,No,No,6.4
Xbox One,Simulacion,2020,6.7,1,10.01,T,No,Si,3.85
PS4,Puzzle,2016,6.7,10,39.56,E10+,Si,Si,8.35
Xbox One,Plataformas,2015,5.8,10,32.69,M,Si,No,7.9
Xbox Series X,RPG,2021,7.9,4,38.15,E,Si,No,5.95
Switch,Aventura,2018,5.2,1,5.41,E,No,No,3.1
PS5,Puzzle,2024,5.2,1,35.23,T,Si,No,3.1
Xbox Series X,Simulacion,2020,9.9,2,22.57,E,Si,Si,5.95
Switch,Plataformas,2017,5,10,4.14,AO,No,No,7.5
Switch,Simulacion,2021,8.3,3,44.38,E10+,Si,No,5.65
Xbox Series X,Estrategia,2025,8.5,6,30.1,M,Si,No,7.25
Xbox Series X,Deportes,2021,6.9,9,15.88,M,Si,No,7.95
PS5,Estrategia,2023,7,1,10.4,AO,No,No,4
PC,Accion,2006,7.2,7,23.36,E10+,No,Si,7.1
Switch,Simulacion,2019,6.1,3,32.66,T,No,No,4.55
PS4,Carreras,2017,9.4,8,37.96,E10+,No,Si,8.7
Xbox Series X,RPG,2021,7.1,5,3.53,AO,Si,No,6.05
Switch,Estrategia,2025,5.6,10,14.48,E10+,Si,No,7.8
Xbox One,Carreras,2020,7.5,10,44.14,T,No,Si,8.75
Switch,RPG,2018,6.3,6,20.95,M,No,Si,6.15
PC,Estrategia,2017,8.2,3,16.56,T,No,No,5.6
PS5,Carreras,2022,9.4,2,42.28,E10+,Si,Si,5.7
PC,Deportes,2013,5.6,10,1.67,AO,Si,Si,7.8
PC,Estrategia,2011,5.5,1,13.15,E10+,No,Si,3.25
PC,Deportes,2017,8.8,1,21.6,M,No,Si,4.9
Switch,Deportes,2020,9.4,4,13.86,M,Si,No,6.7
Xbox One,Aventura,2013,9.7,9,47.73,M,Si,Si,9.35
Xbox Series X,Plataformas,2022,5.1,8,49.87,E,No,Si,6.55
PC,Puzzle,2005,9.7,10,2.67,M,No,No,9.85
PS5,Deportes,2024,5,5,15.52,T,No,Si,5
PC,Simulacion,2018,9,2,0.36,AO,Si,No,5.5
Xbox One,Carreras,2019,6,8,18.36,M,No,Si,7
Xbox One,Plataformas,2018,6.6,6,43.05,T,Si,No,6.3
PS5,RPG,2021,5.4,7,5,E10+,Si,No,6.2
Xbox One,Accion,2013,5.6,9,21.37,AO,No,No,7.3
PS4,Carreras,2014,8.7,1,13.23,AO,No,No,4.85
PS4,RPG,2016,7.8,2,18.16,E,No,Si,4.9
Switch,Puzzle,2020,9.4,3,27.17,T,No,Si,6.2
PC,RPG,2006,5.6,3,13.43,M,Si,Si,4.3
Switch,Puzzle,2022,8.2,8,46.02,AO,Si,No,8.1
Switch,Accion,2017,5.2,5,22.05,M,No,No,5.1
PS4,Deportes,2020,7.5,9,48.23,AO,Si,No,8.25
PC,Simulacion,2009,6.7,4,43.26,T,No,No,5.35
PS5,Estrategia,2025,7.4,7,23.31,M,No,No,7.2
PC,Carreras,2020,7.2,2,31.5,M,Si,No,4.6
Xbox Series X,Puzzle,2020,7.2,3,4.6,AO,No,Si,5.1
PS4,Accion,2019,8.5,8,11.82,E10+,Si,No,8.25
PC,Puzzle,2021,9.6,6,28.02,AO,No,No,7.8
Switch,Aventura,2017,7.1,4,14.25,E,No,No,5.55
PS4,Simulacion,2020,9.7,5,5.41,M,No,No,7.35
Switch,Accion,2025,6.8,5,2.63,M,No,No,5.9
PC,Puzzle,2016,5.9,6,47.2,M,No,Si,5.95
Xbox Series X,Accion,2021,9.9,8,23.3,AO,No,No,8.95
Switch,Carreras,2020,6.4,3,5.9,M,Si,No,4.7
PC,Estrategia,2008,9.6,5,17.14,AO,No,No,7.3
Xbox One,Carreras,2018,5.7,1,11.45,E10+,No,Si,3.35
PC,Plataformas,2021,9,9,32.2,M,No,No,9
Xbox One,Aventura,2015,9.4,3,23.33,M,No,Si,6.2
Xbox One,Deportes,2017,9.6,5,22.07,E,Si,Si,7.3
Xbox One,Carreras,2019,7.8,8,42.77,M,Si,No,7.9
Xbox One,Puzzle,2014,5.9,3,46.42,M,Si,No,4.45
Switch,RPG,2020,10,5,30.38,E10+,No,No,7.5
PS4,Carreras,2019,9.8,6,0.69,M,No,Si,7.9
PS5,Puzzle,2020,7.4,10,23.4,AO,Si,Si,8.7
PS4,Deportes,2017,8.4,10,38.43,M,No,No,9.2
Xbox Series X,Puzzle,2021,9.5,4,22.9,T,No,Si,6.75
PS4,Puzzle,2020,6.9,9,4.84,E,Si,No,7.95
Xbox One,Simulacion,2017,5.6,1,43.3,E10+,Si,Si,3.3
PS5,Estrategia,2021,9.7,4,45.18,M,Si,Si,6.85
PC,Carreras,2005,7.6,6,13.08,E10+,Si,No,6.8
PS5,Carreras,2023,6.6,4,14.6,E10+,No,Si,5.3
